epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4970.59,0.24113,0.18145,0.80936,0.99727,0.99774,0.99474,0.97992,0.15342,0.12337,0.76606,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5161.39,0.23772,0.17843,0.81015,0.9978,0.99724,0.99497,0.9817,0.15114,0.12102,0.76549,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5387.1,0.23762,0.17814,0.80975,0.9985,0.99591,0.99496,0.9809,0.15049,0.12051,0.76535,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5596.35,0.23557,0.17715,0.80854,0.99727,0.99769,0.99497,0.98173,0.14987,0.11905,0.76587,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5809.03,0.23288,0.17457,0.80779,0.99795,0.99732,0.99478,0.98135,0.14865,0.11889,0.76572,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6013.01,0.23159,0.17399,0.80847,0.99737,0.99785,0.99492,0.98231,0.14622,0.11566,0.76465,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6193.9,0.2313,0.1738,0.80909,0.9975,0.99784,0.9949,0.98176,0.14553,0.11658,0.76465,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6395.34,0.22838,0.17251,0.8086,0.99804,0.99752,0.99492,0.98202,0.14388,0.11557,0.76475,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6594.28,0.22635,0.17031,0.8079,0.99708,0.99803,0.99495,0.98183,0.1437,0.11347,0.765,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6821.84,0.22606,0.17009,0.8077,0.99791,0.99767,0.99492,0.98262,0.14273,0.11425,0.7656,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7024.25,0.2237,0.16762,0.80754,0.99785,0.99735,0.99493,0.9827,0.14055,0.11235,0.76362,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7236.54,0.22294,0.16715,0.80615,0.99851,0.99774,0.99488,0.98242,0.13972,0.11024,0.76378,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7451.47,0.22256,0.16707,0.80763,0.99782,0.99775,0.99492,0.9827,0.1395,0.11023,0.76386,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7671.49,0.22018,0.16531,0.80669,0.99765,0.99796,0.9948,0.98333,0.1383,0.10957,0.76396,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7914.8,0.21983,0.16512,0.80577,0.99836,0.99745,0.99482,0.98321,0.13788,0.10865,0.76352,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8153.49,0.21799,0.16351,0.80693,0.9979,0.99812,0.99487,0.98364,0.13711,0.10842,0.76334,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8386.39,0.21622,0.16248,0.80632,0.99862,0.99774,0.99478,0.98328,0.13643,0.10677,0.76302,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8615.09,0.21629,0.16275,0.80604,0.99823,0.99823,0.99484,0.98398,0.13576,0.10669,0.76314,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8845.43,0.21407,0.16115,0.80481,0.99892,0.9982,0.99495,0.98386,0.13468,0.10576,0.76277,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9082.21,0.21316,0.15994,0.80514,0.99835,0.99752,0.99494,0.98378,0.13423,0.10431,0.76275,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
